Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",54.737000,137.160000,180.000000,bottom
"C2","0.1uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",53.340000,145.109452,270.000000,bottom
"C3","0.1uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",88.646000,122.047000,0.000000,bottom
"C4","10uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",88.773000,125.476000,180.000000,bottom
"C5","10uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",50.546000,145.161000,270.000000,bottom
"C6","10uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",88.637461,119.253000,0.000000,bottom
"C7","0.1uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",90.043000,96.774000,90.000000,bottom
"D2->|-1","1N4007","D_SMA_Handsoldering",56.261000,153.670000,90.000000,bottom
"D3->|-1","1N4007","D_SMA_Handsoldering",47.371000,74.422000,0.000000,bottom
"D4->|-1","1N4007","D_SMA_Handsoldering",47.371000,78.232000,0.000000,bottom
"D5->|-1","1N4007","D_SMA_Handsoldering",47.371000,70.358000,0.000000,bottom
"R1","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",73.406000,116.310609,0.000000,bottom
"R2","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",49.403000,90.424000,180.000000,bottom
"R3","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",49.276000,84.709000,180.000000,bottom
"R4","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",52.705000,67.310000,180.000000,bottom
"R5","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",73.348336,113.667998,0.000000,bottom
"R6","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",73.348336,111.127998,0.000000,bottom
"R7","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",73.348336,108.587998,0.000000,bottom
"R8","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",73.348336,106.047998,0.000000,bottom
"R9","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",73.348336,103.507998,0.000000,bottom
"R10","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",89.408000,86.142500,90.000000,bottom
"R11","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",67.945000,79.121000,0.000000,bottom
"R12","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",67.945000,46.482000,0.000000,bottom
"R13","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",67.945000,61.214000,0.000000,bottom
"R14","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",67.945000,50.419000,0.000000,bottom
"R15","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",67.945000,54.991000,0.000000,bottom
"R16","0","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",24.384000,138.430000,180.000000,bottom
"R17","0","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",24.384000,105.283000,180.000000,bottom
"R18","0","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",24.511000,70.485000,180.000000,bottom
"R19","0","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",51.308000,112.014000,90.000000,bottom
"R20","0","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",54.737000,140.081000,0.000000,bottom
"R21","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",88.637461,115.716795,0.000000,bottom
