Designator;Mid X;Mid Y;Rotation;Layer
C1;-56.896;53.975;180;Bottom
C2;-55.499;46.025548;270;Bottom
C3;-90.805;69.088;0;Bottom
C4;-90.932;65.659;180;Bottom
C5;-52.705;45.974;270;Bottom
C6;-90.796461;71.882;0;Bottom
C7;-92.202;94.361;90;Bottom
D2;-58.42;37.465;90;Bottom
D3;-49.53;116.713;0;Bottom
D4;-49.53;112.903;0;Bottom
D5;-49.53;120.777;0;Bottom
R1;75.565;74.824391;0;Bottom
R2;51.562;100.711;180;Bottom
R3;51.435;106.426;180;Bottom
R4;54.864;123.825;180;Bottom
R5;75.507336;77.467002;0;Bottom
R6;75.507336;80.007002;0;Bottom
R7;75.507336;82.547002;0;Bottom
R8;75.507336;85.087002;0;Bottom
R9;75.507336;87.627002;0;Bottom
R10;91.567;104.9925;90;Bottom
R11;70.104;-112.014;0;Bottom
R12;70.104;-144.653;0;Bottom
R13;70.104;-129.921;0;Bottom
R14;70.104;-140.716;0;Bottom
R15;70.104;-136.144;0;Bottom
R16;26.543;-52.705;180;Bottom
R17;26.543;-85.852;180;Bottom
R18;-26.67;-120.65;180;Bottom
R19;-53.467;-79.121;90;Bottom
R20;-56.896;-51.054;0;Bottom
R21;-90.796461;-75.418205;0;Bottom
R22;-60.452;-147.32;0;Bottom
R23;-84.582;-92.3925;180;Bottom
R24;-84.609;-95.1865;180;Bottom
R25;-84.582;-97.9805;180;Bottom
R26;-90.796461;-78.339205;180;Bottom
R27;-35.941;-150.241;90;Bottom
R28;-43.434;-161.671;180;Bottom
R29;-81.0625;-55.245;180;Bottom
R30;-97.282;-53.975;90;Bottom
R31;-84.5455;-100.711;0;Bottom
R32;-81.28;-48.133;180;Bottom
R33;-81.026;-52.451;180;Bottom
U1;-60.3885;-160.3375;0;Bottom
U2;-60.452;-137.414;180;Bottom
U3;-60.3885;-131.0005;180;Bottom
U4;-61.214;-96.749611;0;Bottom
U5;-61.214;-105.131611;0;Bottom
U6;-61.214;-62.484;180;Bottom
U7;-61.214;-113.386611;180;Bottom
U8;-61.214;-68.174611;180;Bottom
U9;-61.214;-73.889611;180;Bottom
U10;-61.214;-79.604611;180;Bottom
U11;-61.214;-85.319611;180;Bottom
U12;-61.214;-91.034611;180;Bottom
U13;-60.3885;-151.4475;0;Bottom
U14;-61.214;-119.101611;0;Bottom
U15;-62.611;-46.025548;0;Bottom
U16;-60.452;-143.256;180;Bottom
U17;-49.53;-157.099;90;Bottom
U18;-89.916;-53.975;0;Bottom
U19;-89.916;-46.863;0;Bottom
