Designator,Mid X,Mid Y,Rotation,Layer
C1,55.499mm,51.181mm,180,bottom
C2,54.102mm,43.231548mm,270,bottom
C3,89.408mm,66.294mm,0,bottom
C4,89.535mm,62.865mm,180,bottom
C5,51.308mm,43.18mm,270,bottom
C6,89.399461mm,69.088mm,0,bottom
C7,90.805mm,91.567mm,90,bottom
D2,57.023mm,34.671mm,90,bottom
D3,48.133mm,113.919mm,0,bottom
D4,48.133mm,110.109mm,0,bottom
D5,48.133mm,117.983mm,0,bottom
R1,74.168mm,72.030391mm,0,bottom
R2,50.165mm,97.917mm,180,bottom
R3,50.038mm,103.632mm,180,bottom
R4,53.467mm,121.031mm,180,bottom
R5,74.110336mm,74.673002mm,0,bottom
R6,74.110336mm,77.213002mm,0,bottom
R7,74.110336mm,79.753002mm,0,bottom
R8,74.110336mm,82.293002mm,0,bottom
R9,74.110336mm,84.833002mm,0,bottom
R10,90.17mm,102.1985mm,90,bottom
R11,68.707mm,109.22mm,0,bottom
R12,68.707mm,141.859mm,0,bottom
R13,68.707mm,127.127mm,0,bottom
R14,68.707mm,137.922mm,0,bottom
R15,68.707mm,133.35mm,0,bottom
R16,25.146mm,49.911mm,180,bottom
R17,25.146mm,83.058mm,180,bottom
R18,25.273mm,117.856mm,180,bottom
R19,52.07mm,76.327mm,90,bottom
R20,55.499mm,48.26mm,0,bottom
R21,89.399461mm,72.624205mm,0,bottom
R22,59.055mm,144.526mm,0,bottom
R23,83.185mm,89.5985mm,180,bottom
R24,83.212mm,92.3925mm,180,bottom
R25,83.185mm,95.1865mm,180,bottom
R26,89.399461mm,75.545205mm,180,bottom
R27,34.544mm,147.447mm,90,bottom
R28,42.037mm,158.877mm,180,bottom
R29,79.6655mm,52.451mm,180,bottom
R30,95.885mm,51.181mm,90,bottom
R31,83.1485mm,97.917mm,0,bottom
R32,79.883mm,45.339mm,180,bottom
R33,79.629mm,49.657mm,180,bottom
U1,58.9915mm,157.5435mm,0,bottom
U2,59.055mm,134.62mm,180,bottom
U3,58.9915mm,128.2065mm,180,bottom
U4,59.817mm,93.955611mm,0,bottom
U5,59.817mm,102.337611mm,0,bottom
U6,59.817mm,59.69mm,180,bottom
U7,59.817mm,110.592611mm,180,bottom
U8,59.817mm,65.380611mm,180,bottom
U9,59.817mm,71.095611mm,180,bottom
U10,59.817mm,76.810611mm,180,bottom
U11,59.817mm,82.525611mm,180,bottom
U12,59.817mm,88.240611mm,180,bottom
U13,58.9915mm,148.6535mm,0,bottom
U14,59.817mm,116.307611mm,0,bottom
U15,61.214mm,43.231548mm,0,bottom
U16,59.055mm,140.462mm,180,bottom
U17,48.133mm,154.305mm,90,bottom
U18,88.519mm,51.181mm,0,bottom
U19,88.519mm,44.069mm,0,bottom
