Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",56.896000,-53.975000,180.000000,bottom
"C2","0.1uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",55.499000,-46.025548,270.000000,bottom
"C3","0.1uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",90.805000,-69.088000,0.000000,bottom
"C4","10uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",90.932000,-65.659000,180.000000,bottom
"C5","10uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",52.705000,-45.974000,270.000000,bottom
"C6","10uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",90.796461,-71.882000,0.000000,bottom
"C7","0.1uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",92.202000,-94.361000,90.000000,bottom
"D2","1N4007","D_SMA_Handsoldering",58.420000,-37.465000,90.000000,bottom
"D3","1N4007","D_SMA_Handsoldering",49.530000,-116.713000,0.000000,bottom
"D4","1N4007","D_SMA_Handsoldering",49.530000,-112.903000,0.000000,bottom
"D5","1N4007","D_SMA_Handsoldering",49.530000,-120.777000,0.000000,bottom
"R1","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",75.565000,-74.824391,0.000000,bottom
"R2","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",51.562000,-100.711000,180.000000,bottom
"R3","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",51.435000,-106.426000,180.000000,bottom
"R4","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",54.864000,-123.825000,180.000000,bottom
"R5","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",75.507336,-77.467002,0.000000,bottom
"R6","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",75.507336,-80.007002,0.000000,bottom
"R7","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",75.507336,-82.547002,0.000000,bottom
"R8","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",75.507336,-85.087002,0.000000,bottom
"R9","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",75.507336,-87.627002,0.000000,bottom
"R10","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",91.567000,-104.992500,90.000000,bottom
"R11","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",70.104000,-112.014000,0.000000,bottom
"R12","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",70.104000,-144.653000,0.000000,bottom
"R13","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",70.104000,-129.921000,0.000000,bottom
"R14","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",70.104000,-140.716000,0.000000,bottom
"R15","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",70.104000,-136.144000,0.000000,bottom
"R16","0","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",26.543000,-52.705000,180.000000,bottom
"R17","0","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",26.543000,-85.852000,180.000000,bottom
"R18","0","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",26.670000,-120.650000,180.000000,bottom
"R19","0","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",53.467000,-79.121000,90.000000,bottom
"R20","0","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",56.896000,-51.054000,0.000000,bottom
"R21","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",90.796461,-75.418205,0.000000,bottom
"R22","0","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",60.452000,-147.320000,0.000000,bottom
"R23","1k","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",84.582000,-92.392500,180.000000,bottom
"R24","1k","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",84.609000,-95.186500,180.000000,bottom
"R25","1k","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",84.582000,-97.980500,180.000000,bottom
"R26","1k","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",90.796461,-78.339205,180.000000,bottom
"R27","1k","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",35.941000,-150.241000,90.000000,bottom
"R28","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",43.434000,-161.671000,180.000000,bottom
"R29","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",81.062500,-55.245000,180.000000,bottom
"R30","1k","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",97.282000,-53.975000,90.000000,bottom
"R31","1k","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",84.545500,-100.711000,0.000000,bottom
"R32","220","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",81.280000,-48.133000,180.000000,bottom
"R33","1k","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",81.026000,-52.451000,180.000000,bottom
"U1","SFH6206-3T","SMDIP-4_W9.53mm_Clearance8mm",60.388500,-160.337500,0.000000,bottom
"U2","SFH6206-3T","SMDIP-4_W9.53mm_Clearance8mm",60.452000,-137.414000,180.000000,bottom
"U3","SFH6206-3T","SMDIP-4_W9.53mm_Clearance8mm",60.388500,-131.000500,180.000000,bottom
"U4","SFH6206-3T","SMDIP-4_W9.53mm_Clearance8mm",61.214000,-96.749611,0.000000,bottom
"U5","SFH6206-3T","SMDIP-4_W9.53mm_Clearance8mm",61.214000,-105.131611,0.000000,bottom
"U6","SFH6206-3T","SMDIP-4_W9.53mm_Clearance8mm",61.214000,-62.484000,180.000000,bottom
"U7","SFH6206-3T","SMDIP-4_W9.53mm_Clearance8mm",61.214000,-113.386611,180.000000,bottom
"U8","SFH6206-3T","SMDIP-4_W9.53mm_Clearance8mm",61.214000,-68.174611,180.000000,bottom
"U9","SFH6206-3T","SMDIP-4_W9.53mm_Clearance8mm",61.214000,-73.889611,180.000000,bottom
"U10","SFH6206-3T","SMDIP-4_W9.53mm_Clearance8mm",61.214000,-79.604611,180.000000,bottom
"U11","SFH6206-3T","SMDIP-4_W9.53mm_Clearance8mm",61.214000,-85.319611,180.000000,bottom
"U12","SFH6206-3T","SMDIP-4_W9.53mm_Clearance8mm",61.214000,-91.034611,180.000000,bottom
"U13","SFH6206-3T","SMDIP-4_W9.53mm_Clearance8mm",60.388500,-151.447500,0.000000,bottom
"U14","SFH6206-3T","SMDIP-4_W9.53mm_Clearance8mm",61.214000,-119.101611,0.000000,bottom
"U15","IFX27001TFV50ATMA1CT-ND","TO-252-3_TabPin2",62.611000,-46.025548,0.000000,bottom
"U16","SFH6206-3T","SMDIP-4_W9.53mm_Clearance8mm",60.452000,-143.256000,180.000000,bottom
"U17","SFH6206-3T","SMDIP-4_W9.53mm_Clearance8mm",49.530000,-157.099000,90.000000,bottom
"U18","SFH6206-3T","SMDIP-4_W9.53mm_Clearance8mm",89.916000,-53.975000,0.000000,bottom
"U19","SFH6206-3T","SMDIP-4_W9.53mm_Clearance8mm",89.916000,-46.863000,0.000000,bottom
