"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"Fabricatable_machines_logo";1;"fabricatable_machines";;;
2;"SIGNAL_SOCKET1,Z_PLUG_SOCKET1,Y2_PLUG_SOCKET1,Y1_PLUG_SOCKET1,X_PLUG_SOCKET1";"PhoenixContact_MCV_1,5_8-G-3.5_1x08_P3.50mm_Vertical";5;"Conn_01x08";;;
3;"R27,R26,R25,R24,R23";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";5;"1000";;;
4;"C6,C5,C1";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";3;"10uF";;;
5;"U16,U14,U13,U12,U11,U10,U9,U8,U7,U6,U5,U4,U3,U2,U1";"SMDIP-4_W9.53mm_Clearance8mm";15;"SFH6206-3T";;;
6;"R22,R20,R19,R18,R17,R16";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";6;"0";;;
7;"D1";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"LED";;;
8;"S1JA-13-F3,S1JA-13-F2,S1JA-13-F1";"D_SMA_Handsoldering";3;"DIODE";;;
9;"R21,R12,R15,R14,R13,R11,R10,R9,R8,R7,R6,R5,R4,R3,R2,R1";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";16;"220";;;
10;"PWR_IN1";"PhoenixContact_MCV_1,5_2-G-3.5_1x02_P3.50mm_Vertical";1;"Conn_01x02";;;
11;"MH4,MH3,MH2,MH1";"MountingHole_4.5mm_Pad";4;"MountingHole";;;
12;"U15";"TO-252-3_TabPin2";1;"IFX27001TFV50ATMA1CT-ND";;;
13;"C3";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"100nF";;;
14;"C2";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"100nF (0.1uF)";;;
15;"P1";"Socket_Strip_Arduino_1x15";1;"Digital";;;
16;"P2";"Socket_Strip_Arduino_1x15";1;"Analog";;;
